Standard ID,,Standard,Repl,Calculated,Difference,%CV,Flag,Analytical,Net Abs
,,Conc,,Conc,,,,Abs,
Standard 1,,0,1,0.0144,0.0144,,,0.0007,0.0007
,,,2,0.0311,0.0311,,,0.0016,0.0016
,,,3,0.0295,0.0295,,,0.0015,0.0015
,,,Mean:,0.025,,36.8163,***,0.0013,0.0013
Standard 2,,2,1,1.8317,0.1683,,,0.0916,0.0916
,,,2,1.8337,0.1663,,,0.0917,0.0917
,,,3,1.838,0.162,,,0.0919,0.0919
,,,Mean:,1.8345,,0.1767,,0.0917,0.0917
Standard 3,,4,1,5.0325,1.0325,,,0.2515,0.2515
,,,2,5.0354,1.0354,,,0.2517,0.2517
,,,3,5.0382,1.0382,,,0.2518,0.2518
,,,Mean:,5.0354,,0.0568,,0.2517,0.2517
Standard 4,,6,1,6.283,0.283,,,0.314,0.314
,,,2,6.2678,0.2678,,,0.3133,0.3133
,,,3,6.2566,0.2566,,,0.3127,0.3127
,,,Mean:,6.2692,,0.2112,,0.3133,0.3133
Standard 5,,8,1,7.0476,0.9524,,,0.3523,0.3523
,,,2,7.0513,0.9487,,,0.3524,0.3524
,,,3,7.0556,0.9444,,,0.3527,0.3527
,,,Mean:,7.0515,,0.0564,,0.3525,0.3525
Standard 6,,10,1,10.2135,0.2135,,,0.5105,0.5105
,,,2,10.2187,0.2187,,,0.5108,0.5108
,,,3,10.2166,0.2166,,,0.5107,0.5107
,,,Mean:,10.2163,,0.0256,,0.5106,0.5106
